;user_name;user_location;user_description;user_created;user_followers;user_friends;user_favourites;user_verified;date;text;hashtags;source;is_retweet;;;;;;;;;;;;;
329868;James Gilbert;;Motorsport Manager X Photography X Creative;2009-05-07 20:06:44;1494.0;640.0;13563.0;False;2021-12-12 14:49:24;Disgusting FIA decision #f1 #AbuDhabiGP;['f1'; 'AbuDhabiGP'];Twitter for iPhone;False;;;;;;;;;;;;
530699;RaceFans;racefans.net/support;Independent Motorsport Coverage • #F1; #IndyCar; #FE;#F2;#F3 & more • https://t.co/BunjWgn09U;2008-02-12 09:29:07;109987.0;1245;9735;False;2022-02-26 15:54:42;"NEW: F1 drivers express support for Ukraine after Russian invasion - https://t.co/IC6UQM6Scq 

By @racefansdotnet

#F1";['F1'];RaceFans 20181015;False;;;;;;;;;
449652;SP 🪡✨;London;"London-based Designer/Pattern Maker 𓃵🪡🇸🇱
IG: samuellapalmer";2010-08-10 14:28:09;377.0;411.0;74740.0;False;2021-12-05 18:09:27;This red flag situation actually stinks #SaudiArabianGP #F1;['SaudiArabianGP';'F1'];Twitter for Android;False;;;;;;;;;;;;
397347;Filomena ⚽ 🇦🇺💚💛🏁;Adelaide;Sports Tragic. Resident Revhead. SA's Melb Storm Fan! AUFC member ❤️. Loves BBC TV's Bargain Hunt & Antiques RoadTrip. You are never too old for Disney!;2011-11-07 08:05:08;286.0;352.0;19269.0;False;2021-12-10 14:49:40;@EvanYoon1 @Formula2 Jack &amp, Oscar to go with Danny Ric on 4 wheels, Jack Miller &amp, Remy Gardner on two...daymm it's gonna be a good time for Aussie Motorsport fans right now! #f1 #f2 #Motogp;['f1';'f2'; 'Motogp'];Twitter for Android;False;;;;;;;;;;;
281342;Bryan Kay;Kampala;l Swim Coach l @RaftersUg l @UgandaSwimming l @fina1908 Starter l @CanaSwim l @F1 Fan l @MercedesAMGF1 l Swimmer l;2012-02-06 07:36:34;21787.0;11767;24099;False;2021-11-21 14:37:26;"LAP 14/57
Gasly pits! His used soft tyres have had enough here, he swaps to a set of the mediums. It's a decent stop, and he returns in P18 just behind the Haas pair. #F1 #QatarGP🇶🇦";['F1'; 'QatarGP'];Twitter for iPhone;False;;;;;;;;;;;;
402147;Motorsport Week;Worldwide;Formula 1; Formula E;F2;F3; IndyCar; WEC; WRC & MotoGP News.;2009-03-29 00:27:29;36148.0;1656.0;4520.0;False;2021-12-09 16:30:09;"FIA to monitor track limits at three corners during Abu Dhabi finale
 
Full story 👉 https://t.co/gbjceb4pn8
 
#AbuDhabiGP #F1
https://t.co/gbjceb4pn8";['AbuDhabiGP';'F1'];MotorsportWeek;False;;;;;;
350800;Leshon;BLR; IN ;I often tweet and follow #CFC #EH10 #LM10 #SC30 #SV5 #RBR #VR46;2016-10-26 05:52:51;969.0;670.0;40391.0;False;2021-12-12 14:30:14;Toto instructing the stewards to keep safety car until the end #AbuDabhiGP #F1;['AbuDabhiGP';'F1'];Twitter for Android;False;;;;;;;;;;;
155599;For F1's Sake Pod;London;Formula One only has itself to blame. @cheekaeyers;@philltromans and @terrysaunders talk about each race and how to fix #f1;2009-03-30 15:03:36;3008.0;748;1422;False;2021-10-24 20:25:12;Tell you what;Norris has had a bit of a stinker today. #USAGP #F1;['USAGP';'F1'];Twitter for iPhone;False;;;;;;;;;;
559131;Sport Playlists;London;Follow Sport Playlists with @ShootMusic. Bringing you all the Football;F1; Rugby; Running; Sport TV & Radio playlists on @SpotifyUK @Deezer & @AppleMusic;2014-12-04 15:09:54;6177.0;3026;3758;False;2022-03-29 12:30:00;"‘The Sulking Poet’ by @BlossomsBand has been added to the Official @F1 Tracks playlist 🆕🎧

@SpotifyUK: https://t.co/TZ20FrtxLs
@Deezer: https://t.co/chq8UZ6gGE
@AppleMusic: https://t.co/XspRLjMNJR

#Blossoms #F1 #Formula1 #F1Tracks 🏁 https://t.co/INVJhJBbRq";['Blossoms';'F1';'Formula1';'F1Tracks'];TweetDeck;False;;;;;;
396496;SportsPro;London;Covering the global sports industry @_MichaelLong / @tbassam / @eoinfconnolly / @Sam__Carp / @EDixonSports / @gina_maggie / @Rorysjones11 / @MickeyCaskill;2009-04-02 12:46:49;33357.0;176.0;608.0;True;2021-12-10 18:28:34;"🗣️ 'F1's increased focus on their digital strategy has had a big impact on fans being able to feel like they're connected with drivers'

The BlackBook's @gina_maggie on how the series is engaging with fans. 

Listen here 👉 https://t.co/qw3UJdIZvG

#SportsBiz #SportsProPod #F1 https://t.co/uZwZaUfkH4";['SportsBiz'; 'SportsProPod';'F1'];HubSpot;False;;;;;;;;;;;
236912;Tami Dee;Near water;Getting started. Give me time.  I am opinionated and awesome….Surprisingly I have no friends here😂;2021-08-18 00:27:16;2.0;17;168;False;2021-11-14 18:38:58;Bottas and Perez today #BrazilGP #F1 https://t.co/sQZ07Cp4gu;['BrazilGP';'F1'];Twitter Web App;False;;;;;;;;;;;;
